file,location,year_diff,year_pub
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,6,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Results,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Results,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
1,Others,5,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,7,2012
1,Methods \ Methodology,5,2012
1,Methods \ Methodology,5,2012
